Type,Year,Qtr,Adoption,Order_type,Adopter,Adopted_child_sex,Adopted_child_age,Count
Application,2015,3,Adoption,Foreign,Other or not stated,n/a,n/a,0
Application,2015,3,Adoption,Foreign,Same sex couple,n/a,n/a,0
Application,2015,3,Adoption,Foreign,Sole applicant,n/a,n/a,3
Application,2015,3,Adoption,Foreign,Step parent,n/a,n/a,0
Application,2015,4,Adoption,Foreign,M/F couple,n/a,n/a,5
Application,2015,4,Adoption,Foreign,Other or not stated,n/a,n/a,0
Application,2015,4,Adoption,Foreign,Same sex couple,n/a,n/a,0
Application,2015,4,Adoption,Foreign,Sole applicant,n/a,n/a,1
Application,2015,4,Adoption,Foreign,Step parent,n/a,n/a,0
Application,2016,1,Adoption,Foreign,M/F couple,n/a,n/a,8
Application,2016,1,Adoption,Foreign,Other or not stated,n/a,n/a,0
Application,2016,1,Adoption,Foreign,Same sex couple,n/a,n/a,0
Application,2016,1,Adoption,Foreign,Sole applicant,n/a,n/a,4
Application,2016,1,Adoption,Foreign,Step parent,n/a,n/a,0
Application,2016,2,Adoption,Foreign,M/F couple,n/a,n/a,2
Application,2016,2,Adoption,Foreign,Other or not stated,n/a,n/a,0
Application,2016,2,Adoption,Foreign,Same sex couple,n/a,n/a,0
Application,2016,2,Adoption,Foreign,Sole applicant,n/a,n/a,2
Application,2016,2,Adoption,Foreign,Step parent,n/a,n/a,0
Application,2016,3,Adoption,Foreign,M/F couple,n/a,n/a,2
Application,2016,3,Adoption,Foreign,Other or not stated,n/a,n/a,0
Application,2016,3,Adoption,Foreign,Same sex couple,n/a,n/a,0
Application,2016,3,Adoption,Foreign,Sole applicant,n/a,n/a,1
Application,2016,3,Adoption,Foreign,Step parent,n/a,n/a,0
Application,2016,4,Adoption,Foreign,M/F couple,n/a,n/a,2
Application,2016,4,Adoption,Foreign,Other or not stated,n/a,n/a,0
Application,2016,4,Adoption,Foreign,Same sex couple,n/a,n/a,0
Application,2016,4,Adoption,Foreign,Sole applicant,n/a,n/a,0
Application,2016,4,Adoption,Foreign,Step parent,n/a,n/a,1
Application,2017,1,Adoption,Foreign,M/F couple,n/a,n/a,4
Application,2017,1,Adoption,Foreign,Other or not stated,n/a,n/a,0
Application,2017,1,Adoption,Foreign,Same sex couple,n/a,n/a,0
Application,2017,1,Adoption,Foreign,Sole applicant,n/a,n/a,0
Application,2017,1,Adoption,Foreign,Step parent,n/a,n/a,0
Application,2017,2,Adoption,Foreign,M/F couple,n/a,n/a,7
Application,2017,2,Adoption,Foreign,Other or not stated,n/a,n/a,0
Application,2017,2,Adoption,Foreign,Same sex couple,n/a,n/a,0
Application,2017,2,Adoption,Foreign,Sole applicant,n/a,n/a,2
Application,2017,2,Adoption,Foreign,Step parent,n/a,n/a,0
Application,2017,3,Adoption,Foreign,M/F couple,n/a,n/a,7
Application,2017,3,Adoption,Foreign,Other or not stated,n/a,n/a,0
Application,2017,3,Adoption,Foreign,Same sex couple,n/a,n/a,0
Application,2017,3,Adoption,Foreign,Sole applicant,n/a,n/a,2
Application,2017,3,Adoption,Foreign,Step parent,n/a,n/a,0
Application,2011,1,Non-adoption,Placement_revoke_or_vary,n/a,n/a,n/a,72
Application,2011,2,Non-adoption,Placement_revoke_or_vary,n/a,n/a,n/a,79
Application,2011,3,Non-adoption,Placement_revoke_or_vary,n/a,n/a,n/a,74
Application,2011,4,Non-adoption,Placement_revoke_or_vary,n/a,n/a,n/a,99
